,results
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '2A61D3D9ED110130E0530A839427C99E', 'geometry': {'points': [[612969.9974890578, 268503.00269899145]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612969.9974890578, 268503.00269899145, 612969.9974890578, 268503.00269899145], 'attributes': {'accidentday_fr': 'lundi / 17h-18h / juillet 2015', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 17h-18h / Juli 2015', 'accidentday_it': 'Lunedí / 17h-18h / Luglio 2015', 'accidentyear': 2015, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '2A61D3D9ED110130E0530A839427C99E'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '05849BCB065001A6E0530A839427544C', 'geometry': {'points': [[613019.9967755694, 268553.0040473475]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613019.9967755694, 268553.0040473475, 613019.9967755694, 268553.0040473475], 'attributes': {'accidentday_fr': 'lundi / 12h-13h / août 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'andere', 'roadtype_fr': 'autre', 'roadtype_it': 'Altro', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 12h-13h / August 2014', 'accidentday_it': 'Lunedí / 12h-13h / Agosto 2014', 'accidentyear': 2014, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 439, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '05849BCB065001A6E0530A839427544C'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'EC9034E394490164E0430A8394278B1B', 'geometry': {'points': [[613001.994170193, 268805.009131943]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613001.994170193, 268805.009131943, 613001.994170193, 268805.009131943], 'attributes': {'accidentday_fr': 'lundi / 09h-10h / novembre 2013', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 09h-10h / November 2013', 'accidentday_it': 'Lunedí / 09h-10h / Novembre 2013', 'accidentyear': 2013, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'EC9034E394490164E0430A8394278B1B'}"
6,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'E0A9A9C5E6670004E0430A839427AD3C', 'geometry': {'points': [[612967.997554761, 268497.00256535807]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612967.997554761, 268497.00256535807, 612967.997554761, 268497.00256535807], 'attributes': {'accidentday_fr': 'mercredi / 16h-17h / juin 2013', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 16h-17h / Juni 2013', 'accidentday_it': 'Mercoledì / 16h-17h / Giugno 2013', 'accidentyear': 2013, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'E0A9A9C5E6670004E0430A839427AD3C'}"
7,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'AA66231C8F2200BAE0430A83942700BA', 'geometry': {'points': [[612566.9974161626, 268648.00099745515]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612566.9974161626, 268648.00099745515, 612566.9974161626, 268648.00099745515], 'attributes': {'accidentday_fr': 'vendredi / 12h-13h / juillet 2011', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 12h-13h / Juli 2011', 'accidentday_it': 'Venerdì / 12h-13h / Luglio 2011', 'accidentyear': 2011, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'AA66231C8F2200BAE0430A83942700BA'}"
8,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '9B72357216A1F018E0430A865E33F018', 'geometry': {'points': [[612509.9978484355, 268629.0012633759]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612509.9978484355, 268629.0012633759, 612509.9978484355, 268629.0012633759], 'attributes': {'accidentday_fr': 'vendredi / 18h-19h / janvier 2011', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 18h-19h / Januar 2011', 'accidentday_it': 'Venerdì / 18h-19h / Gennaio 2011', 'accidentyear': 2011, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '9B72357216A1F018E0430A865E33F018'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '5B544E7B6D330116E0530A83942783CD', 'geometry': {'points': [[613010.0004036295, 269120.00248478615]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613010.0004036295, 269120.00248478615, 613010.0004036295, 269120.00248478615], 'attributes': {'accidentday_fr': 'mercredi / 17h-18h / septembre 2017', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 17h-18h / September 2017', 'accidentday_it': 'Mercoledì / 17h-18h / Settembre 2017', 'accidentyear': 2017, 'label': 'Fussgängerunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 8, 'accidenttype_fr': 'accident impliquant des piétons', 'accidenttype_de': 'Fussgängerunfall', 'accidenttype_it': 'Incidente con pedoni', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '5B544E7B6D330116E0530A83942783CD'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '51867D6C7DAB015CE0530A839427DED6', 'geometry': {'points': [[612579.994318573, 269364.00143861846]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612579.994318573, 269364.00143861846, 612579.994318573, 269364.00143861846], 'attributes': {'accidentday_fr': 'mercredi / 08h-09h / mai 2017', 'severitycategorycode': 'USV', 'roadtype_de': 'andere', 'roadtype_fr': 'autre', 'roadtype_it': 'Altro', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 08h-09h / Mai 2017', 'accidentday_it': 'Mercoledì / 08h-09h / Maggio 2017', 'accidentyear': 2017, 'label': 'Tierunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 9, 'accidenttype_fr': 'accident impliquant des animaux', 'accidenttype_de': 'Tierunfall', 'accidenttype_it': 'Incidente con animali', 'fsocommunecode': '2701', 'roadtypecode': 439, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '51867D6C7DAB015CE0530A839427DED6'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '0C264CA38A7600EAE0530A839427408D', 'geometry': {'points': [[612990.9984099882, 269048.0049318308]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612990.9984099882, 269048.0049318308, 612990.9984099882, 269048.0049318308], 'attributes': {'accidentday_fr': 'jeudi / 16h-17h / décembre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 16h-17h / Dezember 2014', 'accidentday_it': 'Giovedì / 16h-17h / Dicembre 2014', 'accidentyear': 2014, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '0C264CA38A7600EAE0530A839427408D'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'FA5E7E2B35060058E0430A8394272C33', 'geometry': {'points': [[612502.9923559829, 269209.001669278]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612502.9923559829, 269209.001669278, 612502.9923559829, 269209.001669278], 'attributes': {'accidentday_fr': 'jeudi / 18h-19h / mai 2014', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Donnerstag / 18h-19h / Mai 2014', 'accidentday_it': 'Giovedì / 18h-19h / Maggio 2014', 'accidentyear': 2014, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'FA5E7E2B35060058E0430A8394272C33'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'EB71B018CA7401AAE0430A839427F05D', 'geometry': {'points': [[612502.9920934244, 269214.0016332884]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612502.9920934244, 269214.0016332884, 612502.9920934244, 269214.0016332884], 'attributes': {'accidentday_fr': 'mercredi / 10h-11h / septembre 2013', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Mittwoch / 10h-11h / September 2013', 'accidentday_it': 'Mercoledì / 10h-11h / Settembre 2013', 'accidentyear': 2013, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'EB71B018CA7401AAE0430A839427F05D'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'A283F09D964150C2E0430A865E3350C2', 'geometry': {'points': [[612977.9978364107, 269026.0056780718]], 'spatialReference': {'wkid': 21781}}, 'bbox': [612977.9978364107, 269026.0056780718, 612977.9978364107, 269026.0056780718], 'attributes': {'accidentday_fr': 'vendredi / 07h-08h / avril 2011', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 07h-08h / April 2011', 'accidentday_it': 'Venerdì / 07h-08h / Aprile 2011', 'accidentyear': 2011, 'label': 'Abbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 3, 'accidenttype_fr': 'accident en quittant une route', 'accidenttype_de': 'Abbiegeunfall', 'accidenttype_it': 'Incidente nello svoltare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'A283F09D964150C2E0430A865E3350C2'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '53A1EB1E14C801EEE0530A8394278AB2', 'geometry': {'points': [[613175.9995047569, 264932.9982170237]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613175.9995047569, 264932.9982170237, 613175.9995047569, 264932.9982170237], 'attributes': {'accidentday_fr': 'mardi / 08h-09h / juin 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 08h-09h / Juni 2017', 'accidentday_it': 'Martedì / 08h-09h / Giugno 2017', 'accidentyear': 2017, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2769', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '53A1EB1E14C801EEE0530A8394278AB2'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3BD3B4698AB6019CE0530A8394275259', 'geometry': {'points': [[613007.9997974272, 264756.9992218042]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613007.9997974272, 264756.9992218042, 613007.9997974272, 264756.9992218042], 'attributes': {'accidentday_fr': 'lundi / 13h-14h / août 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Montag / 13h-14h / August 2016', 'accidentday_it': 'Lunedí / 13h-14h / Agosto 2016', 'accidentyear': 2016, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2769', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3BD3B4698AB6019CE0530A8394275259'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3A54F56003B200CEE0530A839427084E', 'geometry': {'points': [[613117.9988680045, 265244.9970481788]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613117.9988680045, 265244.9970481788, 613117.9988680045, 265244.9970481788], 'attributes': {'accidentday_fr': 'lundi / 11h-12h / août 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Montag / 11h-12h / August 2016', 'accidentday_it': 'Lunedí / 11h-12h / Agosto 2016', 'accidentyear': 2016, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BS', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3A54F56003B200CEE0530A839427084E'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '35C41DD7D59301A8E0530A839427E016', 'geometry': {'points': [[613008.9998093076, 264750.99924150977]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613008.9998093076, 264750.99924150977, 613008.9998093076, 264750.99924150977], 'attributes': {'accidentday_fr': 'vendredi / 07h-08h / mai 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Freitag / 07h-08h / Mai 2016', 'accidentday_it': 'Venerdì / 07h-08h / Maggio 2016', 'accidentyear': 2016, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2769', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '35C41DD7D59301A8E0530A839427E016'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'D843B3B2024401FCE0430A839427DBE1', 'geometry': {'points': [[613002.9997706527, 264769.9991830867]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613002.9997706527, 264769.9991830867, 613002.9997706527, 264769.9991830867], 'attributes': {'accidentday_fr': 'mardi / 15h-16h / mars 2013', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Dienstag / 15h-16h / März 2013', 'accidentday_it': 'Martedì / 15h-16h / Marzo 2013', 'accidentyear': 2013, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2769', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'D843B3B2024401FCE0430A839427DBE1'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'C2699C392F4E01B8E0430A8394270A55', 'geometry': {'points': [[613008.9998035574, 264753.99923103955]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613008.9998035574, 264753.99923103955, 613008.9998035574, 264753.99923103955], 'attributes': {'accidentday_fr': 'samedi / 12h-13h / mai 2012', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Samstag / 12h-13h / Mai 2012', 'accidentday_it': 'Sabato / 12h-13h / Maggio 2012', 'accidentyear': 2012, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2769', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'C2699C392F4E01B8E0430A8394270A55'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '550C36D67CF501F2E0530A839427B3BD', 'geometry': {'points': [[613056.9991244577, 265330.9969484191]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613056.9991244577, 265330.9969484191, 613056.9991244577, 265330.9969484191], 'attributes': {'accidentday_fr': 'mardi / 16h-17h / mai 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 16h-17h / Mai 2017', 'accidentday_it': 'Martedì / 16h-17h / Maggio 2017', 'accidentyear': 2017, 'label': 'Fussgängerunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 8, 'accidenttype_fr': 'accident impliquant des piétons', 'accidenttype_de': 'Fussgängerunfall', 'accidenttype_it': 'Incidente con pedoni', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '550C36D67CF501F2E0530A839427B3BD'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '3B213C5EBAD20178E0530A839427C9A5', 'geometry': {'points': [[613499.000492653, 265607.00009608566]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613499.000492653, 265607.00009608566, 613499.000492653, 265607.00009608566], 'attributes': {'accidentday_fr': 'mercredi / 17h-18h / août 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 17h-18h / August 2016', 'accidentday_it': 'Mercoledì / 17h-18h / Agosto 2016', 'accidentyear': 2016, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '3B213C5EBAD20178E0530A839427C9A5'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '380F39F2D53D01D0E0530A8394279946', 'geometry': {'points': [[613572.0013486119, 265776.00073858537]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613572.0013486119, 265776.00073858537, 613572.0013486119, 265776.00073858537], 'attributes': {'accidentday_fr': 'mardi / 06h-07h / juin 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 06h-07h / Juni 2016', 'accidentday_it': 'Martedì / 06h-07h / Giugno 2016', 'accidentyear': 2016, 'label': 'Frontalkollision', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 6, 'accidenttype_fr': 'collision frontale', 'accidenttype_de': 'Frontalkollision', 'accidenttype_it': 'Collisione frontale', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '380F39F2D53D01D0E0530A8394279946'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '34118F7DA08301B2E0530A8394275F7E', 'geometry': {'points': [[613500.0003167522, 265574.9999990937]], 'spatialReference': {'wkid': 21781}}, 'bbox': [613500.0003167522, 265574.9999990937, 613500.0003167522, 265574.9999990937], 'attributes': {'accidentday_fr': 'lundi / 13h-14h / avril 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 13h-14h / April 2016', 'accidentday_it': 'Lunedí / 13h-14h / Aprile 2016', 'accidentyear': 2016, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '34118F7DA08301B2E0530A8394275F7E'}"
